State,Rank,Percentage,Number
New Jersey,1,16.14,1112000
Texas,2,16.21,3347000
Maryland,3,16.96,781000
Virginia,4,17.38,1115000
Florida,5,17.39,2889000
South Dakota,6,17.49,112000
Hawaii,7,17.58,187000
Illinois,8,18.06,1754000
Nebraska,9,18.08,257000
Georgia,10,18.09,1405000
Pennsylvania,11,18.23,1814000
New York,12,18.25,2802000
Tennessee,13,18.26,937000
South Carolina,14,18.31,706000
California,15,18.54,5566000
North Carolina,16,18.77,1469000
Connecticut,17,19.03,531000
Michigan,18,19.07,1469000
New Mexico,19,19.1,300000
North Dakota,20,19.13,108000
Arizona,21,19.24,1030000
Wisconsin,22,19.26,859000
Minnesota,23,19.32,819000
Mississippi,24,19.49,431000
Kansas,25,19.59,420000
Iowa,26,19.89,473000
Montana,27,20.0,163000
Delaware,28,20.03,149000
Arkansas,29,20.27,457000
Wyoming,30,20.34,88000
Oklahoma,31,20.43,592000
Alaska,32,20.5,108000
New Hampshire,33,20.56,221000
Louisiana,34,20.63,715000
Vermont,35,20.65,104000
Nevada,36,20.67,474000
Maine,37,20.82,223000
Massachusetts,38,21.22,1155000
Rhode Island,39,21.32,178000
Alabama,40,21.39,794000
Ohio,41,21.4,1906000
Missouri,42,21.44,993000
Colorado,43,21.5,924000
Kentucky,44,22.14,746000
District of Columbia,45,22.21,125000
Washington,46,22.23,1269000
Oregon,47,22.45,731000
Indiana,48,22.51,1129000
West Virginia,49,23.8,337000
Idaho,50,24.46,311000
Utah,51,25.25,550000
National,52,19.0,47132000
