FIPS,State,<High School,High School,Some college or associates degree,Bachelors degree or higher
1,Alabama,438947,1014342,1013673,877044
2,Alaska,33176,137486,167807,144967
4,Arizona,587919,1151988,1637451,1468698
5,Arkansas,260360,686812,596855,482695
6,California,4286538,5431385,7690347,9256873
8,Colorado,308785,827081,1142035,1622853
9,Connecticut,225550,655381,612274,996000
10,Delaware,63843,210998,182986,222043
12,Florida,1751798,4308542,4535040,4659946
13,Georgia,848653,1925374,1969736,2252662
15,Hawaii,74875,272031,315028,334489
16,Idaho,100189,305717,411091,328347
17,Illinois,898338,2220409,2482679,3085274
18,Indiana,476425,1482396,1294565,1212794
19,Iowa,158401,647371,681977,617115
20,Kansas,165373,494226,603778,648613
21,Kentucky,389642,990196,895321,759332
23,Maine,66525,307457,289228,319175
24,Maryland,393028,1006008,1062484,1703178
25,Massachusetts,429794,1133358,1108037,2144142
26,Michigan,596313,1955654,2246576,2055131
27,Minnesota,252331,921198,1230334,1398575
28,Mississippi,291035,596914,643964,451199
29,Missouri,393045,1275987,1257176,1250584
30,Montana,44228,206206,240758,243496
31,Nebraska,106184,324098,419943,409315
32,Nevada,273999,584698,702126,532997
33,New Hampshire,65455,264953,276069,364685
34,New Jersey,600761,1649853,1405825,2513062
35,New Mexico,191076,370125,455809,398288
36,New York,1743890,3474389,3318086,5112792
37,North Carolina,815216,1806403,2201264,2273890
38,North Dakota,34308,129837,180727,152653
39,Ohio,738770,2629870,2330787,2315539
40,Oklahoma,299032,812618,817128,682902
41,Oregon,260785,667341,1003660,1013044
42,Pennsylvania,809967,3072381,2201133,2906517
44,Rhode Island,80258,207358,194110,259644
45,South Carolina,410334,1014022,1069964,1018306
46,South Dakota,45170,175340,189743,169991
47,Tennessee,547733,1479648,1313494,1308972
48,Texas,2884734,4559034,5343905,5662178
49,Utah,131710,425180,663512,648070
50,Vermont,28757,124892,113112,175328
51,Virginia,563601,1392823,1571035,2304490
53,Washington,431403,1133689,1727441,1907238
54,West Virginia,159031,513143,338270,273425
55,Wisconsin,295207,1205321,1255043,1226547
56,Wyoming,25201,112183,144736,110699
72,Puerto Rico,524320,654014,531160,621800
